Class_Id,Method_Id,R1,R2,R3,R4,R5,R6,R7,R8
C15,M151,0,0,0,1,0,0,0,0
C15,M152,0,0,0,0,1,0,0,0
C15,M153,1,0,0,0,0,0,0,0
C9,M091,0,0,0,0,0,0,0,3
C19,M191,0,0,0,0,0,0,8,0
C24,M241,0,1,0,0,0,0,0,0
C24,M242,0,1,0,0,0,0,0,0
C24,M243,0,1,0,0,0,0,0,0
C1,M011,0,1,0,0,0,0,0,0
C1,M012,0,1,0,0,0,0,0,0
C1,M013,0,1,0,0,0,0,0,0
C2,M021,0,0,0,0,1,0,0,0
C3,M031,0,1,0,1,0,0,0,0
C3,M032,0,1,0,1,0,0,0,0
C3,M033,0,1,0,1,0,0,0,0
C4,M041,0,0,0,1,0,0,0,0
C4,M042,0,0,1,0,0,0,0,0
C5,M051,0,1,0,0,0,0,0,0
C5,M052,0,1,0,0,0,0,0,0
C5,M053,0,1,0,0,0,0,0,0
C6,M061,0,0,0,0,0,1,0,0
C7,M071,0,0,0,0,0,0,0,1
C7,M072,0,0,0,0,0,0,0,1
C7,M073,0,0,0,0,0,0,0,1
C8,M081,0,0,0,1,0,0,0,0
C10,M101,0,2,0,0,0,0,0,0
C11,M111,0,0,0,0,0,0,1,0
C12,M121,0,0,0,0,0,0,1,0
C13,M131,0,0,0,0,1,0,0,0
C13,M132,0,0,0,0,1,0,0,0
C14,M141,0,2,0,0,0,0,0,0
C15,M154,0,1,0,0,0,0,0,0
C15,M155,0,1,0,0,0,0,0,0
C15,M156,0,1,0,0,0,0,0,0
C15,M157,0,1,0,0,0,0,0,0
C16,M161,1,1,0,0,0,0,1,0
C17,M171,0,0,0,0,0,0,1,0
C18,M181,0,0,0,0,0,0,1,0
C20,M201,0,0,0,0,0,1,0,0
C21,M211,0,0,0,0,0,0,1,0
C22,M221,0,0,0,0,0,0,1,0
C23,M231,0,1,0,0,0,0,0,0
